"Table A-1: U.S. MD-Granting Medical School Applications and Matriculants by School, State of Legal Residence, and Gender, Academic Year 2025-2026",,,,,,,,,,,
,,,,,,,,,,,
"The table below displays the number of 2025-2026 applications and matriculants by U.S. MD-granting medical schools, showing the percent of in state, out of state, women, and men. Please email datarequest@aamc.org if you need further assistance or have additional inquiries.",,,,,,,,,,,
,,,,,,,,,,,
Applications by School,,Applications1,Applications,,,,Matriculants,Matriculants,,,
,,,by In State Status,,by Gender2,,,by In State Status,,by Gender2,
,,,In State,Out of State,Men,Women,,In State,Out of State,Men,Women
State,Medical School,,%,%,%,%,,%,%,%,%
,,,,,,,,,,,
AL,Alabama-Heersink,"4,206",13.3,86.7,44.8,54.7,196,82.1,17.9,44.9,54.6
,South Alabama-Whiddon,"1,906",25.6,74.4,43.9,55.8,79,93.7,6.3,46.8,53.2
AR,Arkansas,"3,337",9.3,90.7,46.0,53.6,174,83.3,16.7,45.4,52.9
,Walton,"2,021",8.7,91.3,49.1,50.2,48,31.3,68.8,50.0,50.0
AZ,Arizona,"7,342",10.6,89.4,44.6,54.9,118,71.2,28.8,40.7,59.3
,Arizona Phoenix,"5,831",13.1,86.9,46.2,53.2,130,66.9,33.1,52.3,47.7
CA,California,"4,630",78.7,21.3,43.8,55.6,130,97.7,2.3,48.5,51.5
,California Northstate,"3,412",69.0,31.0,43.6,55.6,118,93.2,6.8,46.6,53.4
,Drew,"6,639",37.3,62.7,35.0,64.3,60,71.7,28.3,45.0,55.0
,Kaiser Permanente-Tyson,"6,596",59.8,40.2,42.4,56.7,49,71.4,28.6,38.8,59.2
,Loma Linda,"5,642",47.9,52.1,45.4,54.2,176,44.3,55.7,48.3,51.1
,Southern Cal-Keck,"9,612",50.4,49.6,44.4,54.9,120,80.8,19.2,55.8,42.5
,Stanford,"9,793",33.7,66.3,46.4,52.7,90,40.0,60.0,43.3,55.6
,UC Davis,"8,294",65.0,35.0,41.3,57.8,139,97.1,2.9,39.6,59.7
,UC Irvine,"7,440",71.9,28.1,43.6,55.5,114,88.6,11.4,43.9,56.1
,UC Riverside,"6,508",75.9,24.1,41.6,57.6,90,96.7,3.3,41.1,58.9
,UC San Diego,"10,400",53.6,46.4,43.3,55.8,140,74.3,25.7,35.0,63.6
,UC San Francisco,"10,372",46.3,53.7,43.9,55.0,177,71.8,28.2,36.7,62.1
,UCLA-Geffen,"12,474",43.0,57.0,42.3,56.8,175,59.4,40.6,36.6,62.9
CO,Colorado,"10,405",6.0,94.0,45.4,53.8,181,48.1,51.9,50.3,49.7
CT,Connecticut,"5,734",9.0,91.0,39.9,59.4,114,68.4,31.6,39.5,60.5
,Quinnipiac-Netter,"9,426",4.3,95.7,42.5,56.9,95,5.3,94.7,34.7,64.2
,Yale,"7,352",3.7,96.3,45.4,53.6,104,5.8,94.2,50.0,49.0
DC,George Washington,"17,194",0.5,99.5,39.6,59.8,130,3.8,96.2,47.7,52.3
,Georgetown,"14,542",0.6,99.4,41.0,58.4,203,3.4,96.6,38.9,60.6
,Howard,"8,908",0.6,99.4,35.8,63.7,128,1.6,98.4,46.9,53.1
FL,FIU-Wertheim,"6,013",43.3,56.7,40.7,59.0,121,90.9,9.1,37.2,62.0
,Florida,"5,612",46.0,54.0,44.3,55.1,136,86.8,13.2,53.7,46.3
,Florida Atlantic-Schmidt,"4,165",54.4,45.6,42.3,57.4,78,71.8,28.2,59.0,41.0
,Florida State,"6,730",42.8,57.2,41.7,57.9,120,97.5,2.5,37.5,62.5
,Miami-Miller,"9,912",22.8,77.2,45.4,54.1,202,37.1,62.9,44.6,55.0
,Nova Southeastern-Patel,"5,790",39.0,61.0,42.7,56.9,65,73.8,26.2,49.2,50.8
,UCF,"5,395",46.2,53.8,46.1,53.5,120,69.2,30.8,53.3,46.7
,USF-Morsani,"5,677",43.2,56.8,46.2,53.3,131,51.1,48.9,50.4,49.6
GA,Emory,"12,671",7.5,92.5,43.7,55.5,136,25.0,75.0,33.1,66.9
,MC Georgia Augusta,"3,368",40.9,59.1,40.1,59.5,304,98.7,1.3,41.4,58.6
,Mercer,"1,246",99.8,0.2,36.5,63.2,176,100.0,0.0,37.5,62.5
,Morehouse,"6,873",12.0,88.0,35.0,64.6,110,56.4,43.6,32.7,67.3
HI,Hawaii-Burns,"2,369",8.5,91.5,43.0,56.3,77,79.2,20.8,32.5,67.5
IA,Iowa-Carver,"4,527",6.5,93.5,53.4,46.1,153,64.1,35.9,43.8,54.9
IL,Carle Illinois,"2,889",18.9,81.1,48.6,50.7,64,23.4,76.6,43.8,54.7
,Chicago Med Franklin,"11,973",11.6,88.4,40.9,58.4,203,43.8,56.2,40.4,58.6
,Chicago-Pritzker,"7,738",11.1,88.9,44.5,54.7,91,18.7,81.3,37.4,62.6
,Illinois,"11,273",15.7,84.3,41.9,57.5,302,61.3,38.7,39.7,58.9
,Loyola-Stritch,"13,289",11.5,88.5,41.4,58.0,175,39.4,60.6,38.3,61.7
,Northwestern-Feinberg,"8,610",11.4,88.6,45.0,54.1,140,25.7,74.3,44.3,54.3
,Rush,"13,237",10.3,89.7,40.0,59.4,144,21.5,78.5,39.6,58.3
,Southern Illinois,"1,218",93.1,6.9,42.9,56.5,80,100.0,0.0,46.3,53.8
IN,Indiana,"7,822",8.8,91.2,48.7,50.9,366,86.6,13.4,51.1,48.1
KS,Kansas,"4,978",8.6,91.4,47.0,52.6,211,81.5,18.5,39.8,59.2
KY,Kentucky,"5,766",9.8,90.2,46.8,52.9,208,75.5,24.5,45.7,54.3
,Louisville,"5,317",9.0,91.0,47.2,52.5,168,75.0,25.0,42.9,57.1
LA,LSU New Orleans,"3,865",16.6,83.4,42.6,57.0,195,87.7,12.3,41.0,59.0
,LSU Shreveport,"3,201",18.8,81.2,43.0,56.7,150,81.3,18.7,57.3,42.7
,Tulane,"13,814",2.9,97.1,40.9,58.7,190,15.3,84.7,47.4,51.1
MA,BU-Chobanian Avedisian,"11,429",8.6,91.4,39.5,59.7,138,32.6,67.4,44.9,52.9
,Harvard,"8,275",8.3,91.7,46.0,53.1,165,15.2,84.8,41.8,57.6
,Massachusetts-Chan,"5,630",20.3,79.7,40.2,59.0,233,61.4,38.6,33.9,66.1
,Tufts,"15,455",7.4,92.6,40.4,58.9,204,26.0,74.0,34.3,64.7
MD,Johns Hopkins,"8,057",6.4,93.6,44.0,55.1,118,7.6,92.4,44.1,55.9
,Maryland,"7,186",15.2,84.8,41.0,58.2,171,69.0,31.0,32.2,67.3
,Uniformed Services-Hebert,"2,238",8.5,91.5,54.4,45.3,177,10.7,89.3,56.5,42.9
MI,Central Michigan,"8,513",16.3,83.7,42.4,57.3,104,82.7,17.3,44.2,55.8
,Michigan,"10,277",11.6,88.4,46.6,52.6,168,32.1,67.9,43.5,53.6
,Michigan State,"8,296",18.9,81.1,42.2,57.3,193,72.0,28.0,37.8,61.7
,Oakland Beaumont,"7,492",19.3,80.7,44.6,55.1,124,62.1,37.9,46.0,54.0
,Wayne State,"10,438",16.1,83.9,45.0,54.5,299,71.6,28.4,50.2,49.8
,Western Michigan-Stryker,"5,897",21.6,78.4,48.5,51.1,86,48.8,51.2,43.0,57.0
MN,Mayo-Alix,"5,920",5.3,94.7,51.4,47.8,109,6.4,93.6,48.6,50.5
,Minnesota,"6,843",12.9,87.1,45.4,53.7,264,85.6,14.4,42.4,57.2
MO,Missouri Columbia,"3,677",15.4,84.6,44.1,55.5,136,85.3,14.7,46.3,52.9
,Missouri Kansas City,"1,589",19.8,80.2,45.7,53.9,134,60.4,39.6,41.8,58.2
,Saint Louis,"6,672",6.0,94.0,47.3,52.2,174,29.3,70.7,43.7,56.3
,Washington U St Louis,"6,138",4.7,95.3,49.3,49.8,123,8.9,91.1,56.9,43.1
MS,Mississippi,326,99.4,0.6,42.0,57.4,170,100.0,0.0,42.9,57.1
NC,Duke,"9,234",7.7,92.3,45.2,54.1,123,15.4,84.6,30.9,68.3
,East Carolina-Brody,"2,267",47.5,52.5,42.9,56.6,91,100.0,0.0,51.6,48.4
,North Carolina,"6,264",18.1,81.9,45.0,54.2,229,83.4,16.6,41.0,58.5
